教材K.id,教材知识点,所属章/节,候选平台node_id,候选平台名,置信度,其他候选
K010101,集合与元素,集合/1.1 集合的基本概念,st_01_01,集合,0.709,
K010102,子集与集合相等,集合/1.1 集合的基本概念,st_01_01,集合,0.709,"集合相等A=B(st_01_04,0.648)"
K010103,幂集,集合/1.1 集合的基本概念,st_01_03,幂集P(A),0.85,"集合(st_01_01,0.414)"
K010201,并、交、补、对称差运算,集合/1.2 集合的运算,st_02_04,对称差A⊕B=(A-B)∪(B-A),0.375,
K010202,不交集合与广义并交,集合/1.2 集合的运算,st_01_01,集合,0.709,
K010301,集合恒等式体系,集合/1.3 集合运算的性质,st_01_01,集合,0.709,"集合相等A=B(st_01_04,0.429)"
K010302,集合恒等式的证明,集合/1.3 集合运算的性质,st_01_01,集合,0.709,"集合相等A=B(st_01_04,0.375)"
K010401,容斥原理（计数版）,集合/1.4 有穷集的计数,pl_03_05,假言推理,0.233,
K020101,有序对,关系/2.1 有序对与笛卡儿积,rel_02_02,对称性,0.3,
K020102,笛卡儿积,关系/2.1 有序对与笛卡儿积,st_02_05,"笛卡尔积A×B={(a,b)|a∈A,b∈B}，|A×B|=mn",0.3,
K020201,关系的定义与三种表示,关系/2.2 二元关系,relations,关系,0.68,"等价关系与偏序关系的区别(rel_04_03,0.4)"
K020202,关系的域与特殊关系,关系/2.2 二元关系,relations,关系,0.68,"等价关系与偏序关系的区别(rel_04_03,0.4); 等价关系与等价类(rel_03,0.359)"
K020301,关系的复合运算,关系/2.3 关系的运算,relations,关系,0.68,"集合运算定律(st_03,0.367); 集合运算(st_02,0.362)"
K020302,关系的逆运算,关系/2.3 关系的运算,relations,关系,0.68,
K020303,关系的幂运算,关系/2.3 关系的运算,relations,关系,0.68,
K020401,自反与反自反,关系/2.4 关系的性质,rel_02_04,反自反性,0.633,"自反性(rel_02_01,0.6)"
K020402,对称与反对称,关系/2.4 关系的性质,rel_02_05,反对称性,0.686,"对称性(rel_02_02,0.467); 对称差A⊕B=(A-B)∪(B-A)(st_02_04,0.4)"
K020403,传递性,关系/2.4 关系的性质,rel_02_03,传递性,0.97,
K020501,闭包的定义,关系/2.5 关系的闭包,fl_02_01,量词否定律,0.189,
K020502,闭包的计算方法,关系/2.5 关系的闭包,fl_02_06,证明奇数的平方也是奇数,0.222,
K020601,等价关系,关系/2.6 等价关系与划分,rel_03_01,等价关系,0.97,"等价关系决定集合的一个划分(rel_03_03,0.85); 模n同余关系是等价关系(rel_03_04,0.85)"
K020602,集合的划分,关系/2.6 等价关系与划分,st_01_01,集合,0.709,"等价关系决定集合的一个划分(rel_03_03,0.385)"
K020701,偏序关系与偏序集,关系/2.7 偏序关系,rel_04_01,偏序关系,0.76,"偏序关系(rel_04,0.702); 关系(relations,0.68)"
K020702,偏序集中的特殊元素,关系/2.7 偏序关系,rel_04_03,等价关系与偏序关系的区别,0.3,
K030101,函数作为特殊关系,函数/3.1 函数的定义与性质,relations,关系,0.68,
K030102,单射、满射与双射,函数/3.1 函数的定义与性质,st_03_03,幂等律与吸收律,0.167,
K030201,复合函数,函数/3.2 函数的复合与反函数,pl_03_03,合取范式(CNF),0.225,
K030202,反函数,函数/3.2 函数的复合与反函数,rel_02_04,反自反性,0.317,
K030301,集合的等势与基数,函数/3.3 双射函数与集合的基数,st_01_01,集合,0.709,"集合相等A=B(st_01_04,0.375)"
K030302,基数的比较与康托尔定理,函数/3.3 双射函数与集合的基数,fl_02_06,证明奇数的平方也是奇数,0.182,
K040101,整除与带余除法,初等数论基础及其应用/4.1 素数,mi_03_03,证明n³-n能被3整除,0.25,
K040102,素数与合数,初等数论基础及其应用/4.1 素数,pl_03_03,合取范式(CNF),0.225,
K040103,算术基本定理,初等数论基础及其应用/4.1 素数,gt_03_01,握手定理,0.311,
K040201,最大公因数与欧几里得算法,初等数论基础及其应用/4.2 最大公因数与最小公倍数,rel_04_04,极大元/极小元、最大元/最小元,0.167,
K040202,互素,初等数论基础及其应用/4.2 最大公因数与最小公倍数,st_01_02,子集A⊆B,0.017,
K040203,最小公倍数,初等数论基础及其应用/4.2 最大公因数与最小公倍数,rel_04_04,极大元/极小元、最大元/最小元,0.4,
K040301,同余的定义与性质,初等数论基础及其应用/4.3 同余,rel_01_03,定义域dom(R)与值域ran(R),0.273,
K040302,剩余类与剩余系,初等数论基础及其应用/4.3 同余,rel_03,等价关系与等价类,0.405,
K040303,同余的应用,初等数论基础及其应用/4.3 同余,rel_03_04,模n同余关系是等价关系,0.222,
K040401,一次同余方程 ax≡b(mod m),初等数论基础及其应用/4.4 一次同余方程,rel_03_02,等价类[a]={x|xRa},0.222,
K040402,中国剩余定理,初等数论基础及其应用/4.4 一次同余方程,gt_03_01,握手定理,0.311,
K040501,欧拉函数,初等数论基础及其应用/4.5 欧拉定理和费马小定理,gt_03_04,欧拉定理,0.44,"欧拉图(gt_04_01,0.424)"
K040502,欧拉定理与费马小定理,初等数论基础及其应用/4.5 欧拉定理和费马小定理,gt_03_04,欧拉定理,0.76,
K040503,数论定理的应用,初等数论基础及其应用/4.5 欧拉定理和费马小定理,gt_03_01,握手定理,0.273,
K040601,伪随机数的产生,初等数论基础及其应用/4.6 均匀伪随机数的产生方法,fl_02_06,证明奇数的平方也是奇数,0.222,
K040701,RSA 密钥体制,初等数论基础及其应用/4.7 RSA 公钥密码,rel_01_01,二元关系R⊆A×B,0.255,
K040702,RSA 的安全性,初等数论基础及其应用/4.7 RSA 公钥密码,rel_01_01,二元关系R⊆A×B,0.269,
K050101,图的基本概念,图的基本概念/5.1 图的定义及运算,gt_01,图的基本概念,0.83,"集合基本概念(st_01,0.557); 关系基本概念(rel_01,0.548)"
K050102,图的运算,图的基本概念/5.1 图的定义及运算,st_02,集合运算,0.415,
K050201,顶点的度数,图的基本概念/5.2 度数、通路与回路,gt_03_02,奇度顶点个数必为偶数,0.444,
K050202,通路与回路,图的基本概念/5.2 度数、通路与回路,gt_02_02,回路/圈,0.44,"路径与连通性(gt_02,0.4)"
K050203,图的经典定理,图的基本概念/5.2 度数、通路与回路,gt_03_01,握手定理,0.311,
K050301,无向图的连通性,图的基本概念/5.3 图的连通性,gt_02_03,连通图,0.393,"路径与连通性(gt_02,0.353)"
K050302,有向图的连通性,图的基本概念/5.3 图的连通性,gt_02_03,连通图,0.393,"路径与连通性(gt_02,0.353)"
